trade_id,entry_time,exit_time,direction,entry_price,exit_price,pnl,exit_reason,duration_minutes
330,2020-03-16 15:24:00,2020-03-16 16:03:00,Long,1.11255,1.11455,0.002,TP,39.0
331,2020-03-16 16:46:00,2020-03-16 16:55:00,Short,1.11456,1.11556,-0.001,SL,9.0
332,2020-03-16 17:07:00,2020-03-16 17:21:00,Long,1.11602,1.11502,-0.001,SL,14.0
333,2020-03-16 17:32:00,2020-03-16 17:37:00,Short,1.11572,1.11672,-0.001,SL,5.0
334,2020-03-16 17:44:00,2020-03-16 17:56:00,Long,1.11685,1.11585,-0.001,SL,12.0
335,2020-03-16 18:35:00,2020-03-16 18:59:00,Short,1.11602,1.11702,-0.001,SL,24.0
336,2020-03-16 19:31:00,2020-03-16 20:22:00,Long,1.11618,1.11818,0.002,TP,51.0
337,2020-03-16 20:49:00,2020-03-16 20:58:00,Short,1.11711,1.11811,-0.001,SL,9.0
338,2020-03-16 21:15:00,2020-03-16 21:16:00,Long,1.11758,1.11658,-0.001,SL,1.0
339,2020-03-16 21:20:00,2020-03-16 21:39:00,Short,1.11658,1.11758,-0.001,SL,19.0
340,2020-03-16 21:48:00,2020-03-16 22:08:00,Long,1.11799,1.11699,-0.001,SL,20.0
341,2020-03-16 22:24:00,2020-03-17 02:35:00,Short,1.11767,1.11867,-0.001,SL,251.0
342,2020-03-17 03:07:00,2020-03-17 07:00:00,Short,1.1177,1.1157,0.002,TP,233.0
343,2020-03-17 08:11:00,2020-03-17 08:19:00,Long,1.11403,1.11303,-0.001,SL,8.0
344,2020-03-17 08:27:00,2020-03-17 08:48:00,Short,1.1131,1.1111,0.002,TP,21.0
345,2020-03-17 09:42:00,2020-03-17 09:44:00,Long,1.11125,1.11025,-0.001,SL,2.0
346,2020-03-17 09:57:00,2020-03-17 10:08:00,Short,1.10995,1.10795,0.002,TP,11.0
347,2020-03-17 11:40:00,2020-03-17 11:47:00,Long,1.10201,1.10101,-0.001,SL,7.0
348,2020-03-17 11:53:00,2020-03-17 11:57:00,Short,1.10006,1.10106,-0.001,SL,4.0
349,2020-03-17 13:15:00,2020-03-17 13:34:00,Long,1.09816,1.10016,0.002,TP,19.0
350,2020-03-17 14:09:00,2020-03-17 14:11:00,Short,1.09992,1.10092,-0.001,SL,2.0
351,2020-03-17 14:22:00,2020-03-17 14:26:00,Long,1.09946,1.09846,-0.001,SL,4.0
352,2020-03-17 14:29:00,2020-03-17 14:32:00,Short,1.09658,1.09758,-0.001,SL,3.0
353,2020-03-17 15:16:00,2020-03-17 15:22:00,Long,1.09794,1.09694,-0.001,SL,6.0
354,2020-03-17 16:10:00,2020-03-17 16:12:00,Short,1.09749,1.09849,-0.001,SL,2.0
355,2020-03-17 16:27:00,2020-03-17 16:29:00,Long,1.09952,1.09852,-0.001,SL,2.0
356,2020-03-17 16:49:00,2020-03-17 17:08:00,Short,1.09754,1.09854,-0.001,SL,19.0
357,2020-03-17 17:20:00,2020-03-17 17:21:00,Long,1.09786,1.09686,-0.001,SL,1.0
358,2020-03-17 17:36:00,2020-03-17 17:38:00,Short,1.09671,1.09771,-0.001,SL,2.0
359,2020-03-17 17:40:00,2020-03-17 17:54:00,Short,1.09764,1.09864,-0.001,SL,14.0
360,2020-03-17 18:59:00,2020-03-17 19:36:00,Short,1.09958,1.10058,-0.001,SL,37.0
361,2020-03-17 19:41:00,2020-03-17 19:58:00,Long,1.10092,1.09992,-0.001,SL,17.0
362,2020-03-17 20:40:00,2020-03-17 21:46:00,Short,1.09991,1.10091,-0.001,SL,66.0
363,2020-03-17 22:50:00,2020-03-18 00:55:00,Short,1.10138,1.09938,0.002,TP,125.0
364,2020-03-18 01:31:00,2020-03-18 01:57:00,Long,1.10063,1.09963,-0.001,SL,26.0
365,2020-03-18 02:09:00,2020-03-18 02:34:00,Short,1.1004,1.1014,-0.001,SL,25.0
366,2020-03-18 04:49:00,2020-03-18 05:30:00,Short,1.1027,1.1037,-0.001,SL,41.0
367,2020-03-18 06:07:00,2020-03-18 06:52:00,Short,1.10244,1.10044,0.002,TP,45.0
